step,episode,policy_loss,value_loss,entropy,total_loss,avg_reward
64,0,-0.028483862057328224,83.58145141601562,-1.767293095588684,8.347334861755371,-0.12814439833164215
128,0,-0.017084328457713127,955.1293334960938,-1.767293095588684,95.51351928710938,0.6216281577944756
192,0,-0.005617047194391489,435.92449951171875,-1.767293095588684,43.60450744628906,0.518196664750576
256,0,-0.012632694095373154,815.48291015625,-1.767293095588684,81.55332946777344,-0.12573327869176865
320,0,-0.011331201530992985,569.6031494140625,-1.767293095588684,56.96665954589844,-0.06903122365474701
384,0,-0.007085051387548447,754.3312377929688,-1.767293095588684,75.44371032714844,1.5336606204509735
448,0,-0.00751190260052681,545.6854248046875,-1.767293095588684,54.578704833984375,0.9471630286425352
512,0,-0.01258848700672388,987.0942993164062,-1.767293095588684,98.71451568603516,-0.22647398989647627
576,0,-0.005040097050368786,797.7879638671875,-1.767293095588684,79.79142761230469,1.3158344440162182
640,0,-0.005387425422668457,1595.9324951171875,-1.767293095588684,159.60552978515625,-1.8852237612009048
704,0,-0.01878737471997738,1444.653076171875,-1.767293095588684,144.46420288085938,-2.0914223417639732
768,1,-0.00976586900651455,677.4317626953125,-1.767293095588684,67.75108337402344,-1.508286975324154
832,1,-0.015112089924514294,350.93988037109375,-1.767293095588684,35.09654998779297,-0.9901931285858154
896,1,-0.01813310571014881,657.8280639648438,-1.767293095588684,65.78234100341797,-0.5109411142766476
960,1,-0.017553631216287613,411.9126892089844,-1.767293095588684,41.19138717651367,0.813670426607132
1024,1,-0.0005231853574514389,489.3797912597656,-1.767293095588684,48.95513153076172,0.19446590822190046
1088,1,-0.006828423589468002,344.65069580078125,-1.767293095588684,34.475914001464844,-0.6892363652586937
1152,1,-0.020474204793572426,349.3437194824219,-1.767293095588684,34.93157196044922,-0.6081920564174652
1216,1,-0.00796933751553297,831.0126953125,-1.767293095588684,83.11096954345703,0.017968986183404922
1280,1,-0.00826411135494709,271.6169738769531,-1.767293095588684,27.171106338500977,-0.8840860445052385
1344,1,-0.012122854590415955,835.9158935546875,-1.767293095588684,83.59713745117188,0.760142995044589
1408,1,-0.02100774273276329,574.2642822265625,-1.767293095588684,57.423095703125,0.10231447219848633
1472,1,-0.017024945467710495,415.9295959472656,-1.767293095588684,41.59360885620117,0.7704532146453857
1536,1,-0.005228281021118164,2319.7119140625,-1.767293095588684,231.98362731933594,3.6946778623387218
1600,2,-0.007700171321630478,730.9633178710938,-1.767293095588684,73.10630798339844,0.5967026464641094
1664,2,-0.016525693237781525,410.9209289550781,-1.767293095588684,41.09324264526367,-0.7122402861714363
1728,2,-0.014537777751684189,153.6476287841797,-1.767293095588684,15.367897987365723,0.3802947625517845
1792,2,-0.017746876925230026,545.7537841796875,-1.767293095588684,54.5753059387207,1.5180032886564732
1856,2,-0.011929902248084545,981.8297729492188,-1.767293095588684,98.18871307373047,1.5398391596972942
1920,2,-0.017770882695913315,208.31796264648438,-1.767293095588684,20.83169937133789,0.6626697201281786
1984,2,-0.01998812146484852,584.364013671875,-1.767293095588684,58.434085845947266,0.3521051649004221
2048,2,-0.012498456984758377,797.15234375,-1.767293095588684,79.72040557861328,2.585077048279345
2112,2,-0.029548823833465576,617.4662475585938,-1.767293095588684,61.73474884033203,0.05856115557253361
2176,2,-0.004634009674191475,769.1373291015625,-1.767293095588684,76.92677307128906,1.9922088794410229
2240,2,-0.015131584368646145,631.109375,-1.767293095588684,63.11347961425781,0.6528782546520233
2304,2,-0.01798965223133564,760.6572265625,-1.767293095588684,76.0654067993164,2.7643393222242594
